,0
2437,At least four people have been killed and dozens more are missing after Typhoon Mitag lashed South Korea. More than 1.6 million people have been ordered to evacuate as the storm brings heavy rains and strong winds.
2438,Amazon wants a piece of the ad revenue that Disney makes from apps on Fire TV. Disney is one of the largest providers of streaming content on Fire TV.
2439,"The head of the National Security Agency says the U.S. is ""not winning"" the cyberwar against Russia and other adversaries. He says the U.S. needs to do more to defend itself and its allies."
2440,"This is an article discussing the potential for the U.S. economy to be impacted by a slowdown in the global economy. The author reviews data on global economic growth and trade and concludes that while there are risks, the U.S. is currently in a strong position."
2441,"The U.S. Federal Trade Commission is investigating Juul Labs Inc over its marketing practices, according to a source familiar with the matter, the latest scrutiny of the e-cigarette maker.

The source said on Monday that the FTC sent a civil investigative demand to Juul several weeks ago as part of"
2442,"‘There are just two weeks to go until the UK is due to leave the EU and we are still no closer to a deal,’ said Simon Coveney."
2443,Facebook has launched a new app called Threads. The app is a messaging app for close friends where you can see their status and share photos and videos.
2444,"Irish capital Dublin has been ranked as the 28th smartest city globally in a new study that looks at a range of factors including the number of mobile phone and internet users, as well as the level of education."
2445,"The deputy leader of Ireland's Sinn Fein said on Friday that British Prime Minister Theresa May's plan to put the onus on the Irish government to find a solution to the impasse over the border after Brexit was not acceptable.

May's plan would see Northern Ireland stay aligned to some EU rules after Brexit"
2446,Thursday’s bonus-point win over Samoa has put Ireland in a strong position to qualify for the quarter-finals of the Rugby World Cup. They need to beat Japan in their final pool game on Saturday to be sure of progressing.
2447,"As he spoke to reporters on the White House lawn, Trump said that both Chinese President Xi Jinping and Ukrainian President Volodymyr Zelensky should investigate the Bidens. He also said that he had not spoken to either leader about the matter."
2448,"Company opening new branch in Belfast, creating 150 jobs. Jobs will be in customer service and claims processing."
2449,"A reward is being offered for information leading to the return of a solid gold toilet that was stolen from a British estate. The toilet, which is worth about $6 million, was installed at the estate as an art piece."
